time,3458B_volt
1721676675.6120956,-1.127388266e-05
1721676683.652447,-1.130320355e-05
1721676691.6931407,-1.139116622e-05
1721676699.7337308,-1.143514756e-05
1721676707.7742114,-1.139116622e-05
1721676715.814786,-1.136184533e-05
1721676723.8550475,-1.130320355e-05
1721676731.895666,-1.139116622e-05
1721676739.9359622,-1.140582667e-05
1721676747.9764009,-1.137650577e-05
1721676756.0168455,-1.142048711e-05
1721676764.0573635,-1.134718488e-05
1721676772.097821,-1.140582667e-05
1721676780.1385033,-1.134718488e-05
1721676788.1792145,-1.124456176e-05
1721676796.2197917,-1.140582667e-05
1721676804.260317,-1.139116622e-05
1721676812.300904,-1.139116622e-05
1721676820.3417456,-1.152311023e-05
1721676828.3821702,-1.130320355e-05
1721676836.4227562,-1.127388266e-05
1721676844.4633183,-1.134718488e-05
1721676852.5039437,-1.131786399e-05
1721676860.5443897,-1.142048711e-05
1721676868.5848567,-1.143514756e-05
1721676876.6253126,-1.137650577e-05
1721676884.6658812,-1.133252444e-05
1721676892.7064483,-1.133252444e-05
1721676900.7469435,-1.139116622e-05
1721676908.7876449,-1.133252444e-05
1721676916.828195,-1.124456176e-05
1721676924.8688982,-1.133252444e-05
1721676932.9093337,-1.140582667e-05
1721676940.9497185,-1.143514756e-05
1721676948.990251,-1.131786399e-05
1721676957.030502,-1.1449808e-05
1721676965.0710375,-1.134718488e-05
1721676973.1116972,-1.137650577e-05
1721676981.1523747,-1.143514756e-05
1721676989.1929433,-1.125922221e-05
1721676997.2335258,-1.156709157e-05
1721677005.2741723,-1.136184533e-05
1721677013.3147757,-1.134718488e-05
1721677021.355336,-1.12885431e-05
1721677029.395618,-1.130320355e-05
1721677037.4360836,-1.143514756e-05
1721677045.4765518,-1.137650577e-05
1721677053.5169566,-1.137650577e-05
1721677061.5573635,-1.140582667e-05
1721677069.5977597,-1.130320355e-05
1721677077.6380823,-1.140582667e-05
1721677085.6785483,-1.12885431e-05
1721677093.7191565,-1.122990132e-05
1721677101.7596633,-1.137650577e-05
1721677109.8001661,-1.139116622e-05
1721677117.840841,-1.121524087e-05
1721677125.8814716,-1.121524087e-05
1721677133.922133,-1.133252444e-05
1721677141.9627168,-1.121524087e-05
1721677150.0031862,-1.140582667e-05
1721677158.0437944,-1.12885431e-05
1721677166.08403,-1.1449808e-05
1721677174.1245556,-1.139116622e-05
1721677182.1652675,-1.136184533e-05
1721677190.2056537,-1.133252444e-05
1721677198.2460582,-1.139116622e-05
1721677206.2866957,-1.143514756e-05
1721677214.3271492,-1.134718488e-05
1721677222.367567,-1.124456176e-05
1721677230.4078393,-1.131786399e-05
1721677238.4481719,-1.131786399e-05
