time,W4950_volt
1693580319.4942691,0.0
1693580337.8159397,-0.0
1693580356.1365092,-0.0
1693580374.457849,-0.0
1693580392.7784204,-0.0
1693580411.0983014,-0.0
1693580429.418523,-0.0
1693580447.7396405,-0.0
1693580466.060819,-0.0
1693580484.381662,-1e-06
1693580502.7020652,-1e-06
1693580521.0225835,-0.0
1693580539.3435943,-1e-06
1693580557.6649418,-1e-06
1693580575.9858422,-0.0
1693580594.3068104,-1e-06
1693580612.6280093,-1e-06
1693580630.9489605,-0.0
1693580649.270021,-0.0
1693580667.5911286,-0.0
1693580685.9120636,-0.0
1693580704.2331805,-0.0
1693580722.5536795,-0.0
1693580740.8740792,-0.0
1693580759.194038,-0.0
1693580777.5141826,-0.0
1693580795.8344712,-0.0
1693580814.1551917,-1e-06
1693580832.475259,-0.0
1693580850.796221,-0.0
1693580869.117926,-0.0
1693580887.438493,-0.0
1693580905.7599003,-0.0
1693580924.0808868,-0.0
1693580942.402381,-0.0
1693580960.7239318,0.0
1693580979.0449657,-1e-06
1693580997.36592,-0.0
1693581015.6867142,-0.0
1693581034.0083168,-0.0
1693581052.334947,0.0
1693581070.6554768,-0.0
1693581088.976834,-0.0
1693581107.2976067,-0.0
1693581125.619277,-1e-06
1693581143.940495,-1e-06
1693581162.2609303,-0.0
1693581180.5824163,-1e-06
1693581198.9029474,-0.0
1693581217.2243183,-1e-06
1693581235.544968,-0.0
1693581253.8664832,-0.0
1693581272.188019,-1e-06
1693581290.5093627,-1e-06
1693581308.8309162,-1e-06
1693581327.1516585,-0.0
1693581345.472398,-1e-06
1693581363.7932222,-0.0
1693581382.1141639,-0.0
1693581400.4345124,-1e-06
1693581418.7553904,-0.0
1693581437.0767484,-1e-06
1693581455.397628,-0.0
1693581473.717869,-1e-06
1693581492.0380116,-0.0
1693581510.3584871,-1e-06
1693581528.678774,-0.0
1693581546.9990752,-1e-06
1693581565.3197238,-1e-06
1693581583.6408038,-1e-06
1693581601.9613254,-1e-06
1693581620.2823355,-1e-06
1693581638.6035147,-1e-06
1693581656.92497,-1e-06
1693581675.2461865,-1e-06
1693581693.5670867,-1e-06
1693581711.8876114,-0.0
1693581730.2089381,-1e-06
1693581748.530106,-1e-06
1693581766.8511808,-0.0
1693581785.171896,-1e-06
1693581803.4929278,-1e-06
1693581821.814075,-1e-06
1693581840.1342247,-1e-06
1693581858.454699,-1e-06
1693581876.7760122,-1e-06
1693581895.0969706,-1e-06
1693581913.4171832,-1e-06
1693581931.737559,-1e-06
1693581950.0582192,-1e-06
1693581968.3793705,-1e-06
1693581986.7000399,-1e-06
1693582005.0201063,-1e-06
1693582023.340686,-1e-06
1693582041.661927,-1e-06
1693582059.9835427,-0.0
1693582078.3040054,-0.0
1693582096.6240523,-1e-06
1693582114.9445045,-1e-06
1693582133.2640686,-1e-06
1693582151.5850704,-1e-06
1693582169.906072,-0.0
1693582188.2271726,-0.0
1693582206.5476537,-0.0
1693582224.8683312,-1e-06
1693582243.188651,-1e-06
1693582261.5102122,-1e-06
1693582279.8310423,-1e-06
1693582298.1523046,-1e-06
1693582316.473033,-1e-06
1693582334.7937303,-0.0
1693582353.1143003,-1e-06
1693582371.434901,-0.0
1693582389.755039,-0.0
1693582408.076064,-0.0
1693582426.3960602,-0.0
1693582444.7163587,-1e-06
1693582463.036843,-0.0
1693582481.3578181,-1e-06
1693582499.6788077,-1e-06
1693582517.9992251,-0.0
1693582536.320101,-0.0
1693582554.6404989,-1e-06
1693582572.9608636,-0.0
1693582591.2819946,-0.0
1693582609.6028867,-0.0
1693582627.9239511,-0.0
1693582646.245021,-0.0
1693582664.5651433,-1e-06
1693582682.8853137,-1e-06
1693582701.205576,-1e-06
1693582719.5256453,-1e-06
1693582737.8469002,-1e-06
1693582756.1681128,-0.0
1693582774.4889836,-1e-06
1693582792.8096921,-1e-06
